source,row_number,issue_code,severity,details,incident_type_raw,incident_description,risk_level_raw,risk_percentage_raw,priority_raw
main,22,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Psychological Abuse,Lagi niyang sinasabi na wala akong silbi at mas mabuti pa raw mawala na lang ako sa bahay.,High,74,P2
main,23,RISK_LEVEL_MISMATCH,high,"Risk 60.0 implies High, but row has Medium.",Economic Abuse,My partner took my phone and blocked my online selling accounts so I can’t earn.,Medium,60,P2
main,24,RISK_LEVEL_MISMATCH,high,"Risk 81.0 implies Critical, but row has High.",Elder Abuse,He pushes his elderly mother and calls her names when she moves slowly.,High,81,P1
main,26,RISK_LEVEL_MISMATCH,high,"Risk 87.0 implies Critical, but row has High.",Physical Abuse,Sinuntok niya ang braso ko at sinabi niyang uulitin niya kapag nagsumbong ako.,High,87,P1
main,26,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Physical Abuse,Sinuntok niya ang braso ko at sinabi niyang uulitin niya kapag nagsumbong ako.,High,87,P1
main,27,RISK_LEVEL_MISMATCH,high,"Risk 86.0 implies Critical, but row has High.",Sexual Abuse,He coerced me by using fear and threats; I didn’t feel safe to refuse.,High,86,P1
main,27,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Sexual Abuse,He coerced me by using fear and threats; I didn’t feel safe to refuse.,High,86,P1
main,28,RISK_LEVEL_MISMATCH,high,"Risk 63.0 implies High, but row has Medium.",Psychological Abuse,Agpaspasensyaak ngem agtultuloy ti panag-uyaw ken panagkarkaro ti panagbuteng.,Medium,63,P2
main,28,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Psychological Abuse,Agpaspasensyaak ngem agtultuloy ti panag-uyaw ken panagkarkaro ti panagbuteng.,Medium,63,P2
main,29,PRIORITY_MISMATCH,high,"Risk 58.0 implies Third Priority (P3), but row has Second Priority (P2).",Economic Abuse,Pinagbabawalan niya akong humawak ng pera kahit sa pamasahe; kailangan ko pang humingi.,Medium,58,P2
main,29,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Economic Abuse,Pinagbabawalan niya akong humawak ng pera kahit sa pamasahe; kailangan ko pang humingi.,Medium,58,P2
main,30,RISK_LEVEL_MISMATCH,high,"Risk 69.0 implies High, but row has Medium.",Elder Abuse,The caregiver often ignores the elderly patient’s needs and leaves them unattended.,Medium,69,P2
main,31,RISK_LEVEL_MISMATCH,high,"Risk 80.0 implies Critical, but row has High.",Neglect / Acts of Omission,Iniwan ang bata mag-isa habang nasa inuman; wala ring ulam at gatas.,High,80,P1
main,31,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Neglect / Acts of Omission,Iniwan ang bata mag-isa habang nasa inuman; wala ring ulam at gatas.,High,80,P1
main,32,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Physical Abuse,He grabbed my neck briefly during an argument; I ran to a neighbor for help.,Critical,91,P1
main,34,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Psychological Abuse,He repeatedly calls me useless and isolates me from my friends and relatives.,High,73,P2
main,35,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Economic Abuse,Kinuha niya ang sweldo ko at hindi ako pinayagang bumili ng pagkain para sa mga bata.,High,79,P2
main,36,RISK_LEVEL_MISMATCH,high,"Risk 64.0 implies High, but row has Medium.",Elder Abuse,"Nanloloob siya sa kwarto ni lola at kinukuha ang gamit; kapag kinontra, sinisigawan.",Medium,64,P2
main,37,RISK_LEVEL_MISMATCH,high,"Risk 65.0 implies High, but row has Medium.",Neglect / Acts of Omission,The child missed school for days because no one prepared food or helped with transport.,Medium,65,P2
main,38,RISK_LEVEL_MISMATCH,high,"Risk 83.0 implies Critical, but row has High.",Physical Abuse,Sinipa niya ang pinto at tinamaan ako; natakot ang anak ko at umiiyak.,High,83,P1
main,39,RISK_LEVEL_MISMATCH,high,"Risk 87.0 implies Critical, but row has High.",Sexual Abuse,He insisted on unwanted touching and said I’m not allowed to refuse.,High,87,P1
main,39,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Sexual Abuse,He insisted on unwanted touching and said I’m not allowed to refuse.,High,87,P1
main,40,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Psychological Abuse,Pinagbabantaan niya ako sa chat na ipapahiya niya ako sa barangay kung magsusumbong ako.,High,76,P2
main,41,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Economic Abuse,He stopped supporting our household and uses all income for himself; utilities got cut.,High,77,P2
main,43,RISK_LEVEL_MISMATCH,high,"Risk 80.0 implies Critical, but row has High.",Neglect / Acts of Omission,Kulang ang pag-aalaga sa matanda; hindi pinapalitan ang damit at hindi pinapainom ng gamot.,High,80,P1
main,43,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Neglect / Acts of Omission,Kulang ang pag-aalaga sa matanda; hindi pinapalitan ang damit at hindi pinapainom ng gamot.,High,80,P1
main,44,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Physical Abuse,He threatened me with a blade from the kitchen and told me to keep silent.,Critical,95,P1
main,45,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Sexual Abuse,Pinipilit niya ako kapag lasing siya at natatakot akong tumanggi dahil nagagalit siya.,Critical,93,P1
main,46,RISK_LEVEL_MISMATCH,high,"Risk 68.0 implies High, but row has Medium.",Psychological Abuse,He keeps checking my location and accuses me of cheating; I feel constantly anxious.,Medium,68,P2
main,46,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Psychological Abuse,He keeps checking my location and accuses me of cheating; I feel constantly anxious.,Medium,68,P2
main,47,RISK_LEVEL_MISMATCH,high,"Risk 61.0 implies High, but row has Medium.",Economic Abuse,Pinagbabawalan niya akong magbukas ng sariling account; lahat ng pera dumadaan sa kanya.,Medium,61,P2
main,47,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Economic Abuse,Pinagbabawalan niya akong magbukas ng sariling account; lahat ng pera dumadaan sa kanya.,Medium,61,P2
main,48,RISK_LEVEL_MISMATCH,high,"Risk 82.0 implies Critical, but row has High.",Elder Abuse,The elder is mocked and left hungry; neighbors notice weight loss and fear.,High,82,P1
main,50,RISK_LEVEL_MISMATCH,high,"Risk 86.0 implies Critical, but row has High.",Physical Abuse,Sinampal niya ako at hinablot ang buhok ko; nakita ito ng kapatid ko.,High,86,P1
main,51,RISK_LEVEL_MISMATCH,high,"Risk 85.0 implies Critical, but row has High.",Sexual Abuse,He used threats to pressure me into intimacy; I felt unsafe in my own home.,High,85,P1
main,51,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Sexual Abuse,He used threats to pressure me into intimacy; I felt unsafe in my own home.,High,85,P1
main,52,PRIORITY_MISMATCH,high,"Risk 79.0 implies Second Priority (P2), but row has First Priority (P1).",Psychological Abuse,Sinasabi niya na wala akong mapupuntahan at kukunin niya ang anak namin kung aalis ako.,High,79,P1
main,53,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Economic Abuse,He forced me to hand over my remittance and punished me by withholding food money.,High,74,P2
main,54,INVALID_LANGUAGE,medium,Language 'Mixed' is not in allowed list.,Elder Abuse,Inbales na so anak ed inkasarak ed ina; sinasabi na pabigat la raw si nanang.,Medium,63,P2
main,54,RISK_LEVEL_MISMATCH,high,"Risk 63.0 implies High, but row has Medium.",Elder Abuse,Inbales na so anak ed inkasarak ed ina; sinasabi na pabigat la raw si nanang.,Medium,63,P2
main,55,RISK_LEVEL_MISMATCH,high,"Risk 80.0 implies Critical, but row has High.",Neglect / Acts of Omission,The sick child was not brought to the clinic even after several days of fever.,High,80,P1
main,56,RISK_LEVEL_MISMATCH,high,"Risk 82.0 implies Critical, but row has High.",Physical Abuse,Tinulak niya ako sa labas ng bahay at nag-iwan siya ng banta na babalik siya.,High,82,P1
main,56,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Physical Abuse,Tinulak niya ako sa labas ng bahay at nag-iwan siya ng banta na babalik siya.,High,82,P1
main,57,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Sexual Abuse,Pinilit niya ako kahit paulit-ulit akong tumanggi; pagkatapos sinabi niya huwag ko daw ikwento.,Critical,94,P1
main,58,PRIORITY_MISMATCH,high,"Risk 78.0 implies Second Priority (P2), but row has First Priority (P1).",Psychological Abuse,He shouts daily and breaks things to scare us; the kids hide when he comes home.,High,78,P1
main,58,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Psychological Abuse,He shouts daily and breaks things to scare us; the kids hide when he comes home.,High,78,P1
main,59,PRIORITY_MISMATCH,high,"Risk 59.0 implies Third Priority (P3), but row has Second Priority (P2).",Economic Abuse,Hindi niya binabayaran ang upa kahit may pera siya; ako ang sinisisi kapag napuputulan ng kuryente.,Medium,59,P2
main,59,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Economic Abuse,Hindi niya binabayaran ang upa kahit may pera siya; ako ang sinisisi kapag napuputulan ng kuryente.,Medium,59,P2
main,60,RISK_LEVEL_MISMATCH,high,"Risk 66.0 implies High, but row has Medium.",Elder Abuse,The elderly person is left alone for long hours without assistance to eat or bathe.,Medium,66,P2
main,61,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Neglect / Acts of Omission,Awan ti makan ti ubing; nabayag nga awan ti nag-asikaso kenkuana.,High,77,P2
main,62,RISK_LEVEL_MISMATCH,high,"Risk 85.0 implies Critical, but row has High.",Physical Abuse,He punched my shoulder and warned me not to report to the barangay.,High,85,P1
main,62,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Physical Abuse,He punched my shoulder and warned me not to report to the barangay.,High,85,P1
main,63,RISK_LEVEL_MISMATCH,high,"Risk 87.0 implies Critical, but row has High.",Sexual Abuse,He repeatedly pressured me and said it’s my obligation; I felt trapped and afraid.,High,87,P1
main,63,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Sexual Abuse,He repeatedly pressured me and said it’s my obligation; I felt trapped and afraid.,High,87,P1
main,64,RISK_LEVEL_MISMATCH,high,"Risk 67.0 implies High, but row has Medium.",Psychological Abuse,Minumura niya ako sa harap ng kapitbahay at sinisigaw niya ang mga personal kong sikreto.,Medium,67,P2
main,64,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Psychological Abuse,Minumura niya ako sa harap ng kapitbahay at sinisigaw niya ang mga personal kong sikreto.,Medium,67,P2
main,65,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Economic Abuse,Kinuha niya ang panggastos sa pagkain at ginamit sa bisyo; hirap na hirap kami.,High,76,P2
main,66,RISK_LEVEL_MISMATCH,high,"Risk 62.0 implies High, but row has Medium.",Elder Abuse,Sinusumbatan nila ang matanda at hindi pinapansin kapag humihingi ng tulong.,Medium,62,P2
main,66,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Elder Abuse,Sinusumbatan nila ang matanda at hindi pinapansin kapag humihingi ng tulong.,Medium,62,P2
main,67,PRIORITY_MISMATCH,high,"Risk 79.0 implies Second Priority (P2), but row has First Priority (P1).",Neglect / Acts of Omission,The elderly relative was not given prescribed medicine for days despite reminders.,High,79,P1
main,68,RISK_LEVEL_MISMATCH,high,"Risk 83.0 implies Critical, but row has High.",Physical Abuse,Tinadyakan niya ang upuan ko at natumba ako; natakot ang mga bata.,High,83,P1
main,68,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Physical Abuse,Tinadyakan niya ang upuan ko at natumba ako; natakot ang mga bata.,High,83,P1
main,69,RISK_LEVEL_MISMATCH,high,"Risk 89.0 implies Critical, but row has High.",Sexual Abuse,Pinilit niya akong sumunod kahit may takot ako; sinabi niyang wala akong karapatang tumanggi.,High,89,P1
main,69,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Sexual Abuse,Pinilit niya akong sumunod kahit may takot ako; sinabi niyang wala akong karapatang tumanggi.,High,89,P1
main,70,RISK_LEVEL_MISMATCH,high,"Risk 80.0 implies Critical, but row has High.",Psychological Abuse,He threatens to post my photos online if I seek help; I feel unsafe.,High,80,P1
main,70,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Psychological Abuse,He threatens to post my photos online if I seek help; I feel unsafe.,High,80,P1
main,71,RISK_LEVEL_MISMATCH,high,"Risk 60.0 implies High, but row has Medium.",Economic Abuse,He hides household money and forces me to beg from relatives; this happens weekly.,Medium,60,P2
main,71,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Economic Abuse,He hides household money and forces me to beg from relatives; this happens weekly.,Medium,60,P2
main,72,RISK_LEVEL_MISMATCH,high,"Risk 81.0 implies Critical, but row has High.",Elder Abuse,He yells at his elderly father and forces him to sign papers he doesn’t understand.,High,81,P1
main,73,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Neglect / Acts of Omission,Iniwan ang matanda na walang kasama sa gabi kahit hirap na hirap gumalaw.,High,78,P2
main,74,RISK_LEVEL_MISMATCH,high,"Risk 69.0 implies High, but row has Medium.",Physical Abuse,"He struck me and then apologized, but this pattern repeats every month.",Medium,69,P2
main,74,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Physical Abuse,"He struck me and then apologized, but this pattern repeats every month.",Medium,69,P2
main,76,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Psychological Abuse,Agpukpukaw ti panunotek gapu ta agtultuloy ti panangbuteng ken panangkontrol.,High,75,P2
main,78,RISK_LEVEL_MISMATCH,high,"Risk 80.0 implies Critical, but row has High.",Elder Abuse,Pinapagalitan ang lolo at pinipilit ibigay ang pension; nagiging tahimik na lang siya.,High,80,P1
main,79,RISK_LEVEL_MISMATCH,high,"Risk 81.0 implies Critical, but row has High.",Neglect / Acts of Omission,The baby was left with no milk for hours; a neighbor had to help.,High,81,P1
main,79,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Neglect / Acts of Omission,The baby was left with no milk for hours; a neighbor had to help.,High,81,P1
main,80,RISK_LEVEL_MISMATCH,high,"Risk 82.0 implies Critical, but row has High.",Physical Abuse,Tinulak niya ako at nagkaroon ako ng pasa; natakot ako kaya lumapit ako sa tanod.,High,82,P1
main,80,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Physical Abuse,Tinulak niya ako at nagkaroon ako ng pasa; natakot ako kaya lumapit ako sa tanod.,High,82,P1
main,81,RISK_LEVEL_MISMATCH,high,"Risk 88.0 implies Critical, but row has High.",Sexual Abuse,He used intimidation to get what he wanted; I felt unsafe and powerless.,High,88,P1
main,81,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Sexual Abuse,He used intimidation to get what he wanted; I felt unsafe and powerless.,High,88,P1
main,82,RISK_LEVEL_MISMATCH,high,"Risk 65.0 implies High, but row has Medium.",Psychological Abuse,He isolates me and refuses to let me talk to my family; I feel controlled.,Medium,65,P2
main,83,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Economic Abuse,Pinutol niya ang support sa bata at sinabing bahala na ako; ako lahat ang gumagastos.,High,78,P2
main,84,RISK_LEVEL_MISMATCH,high,"Risk 80.0 implies Critical, but row has High.",Elder Abuse,The elder is left without meals on time and is shouted at when asking for help.,High,80,P1
main,85,RISK_LEVEL_MISMATCH,high,"Risk 80.0 implies Critical, but row has High.",Neglect / Acts of Omission,Walang nag-aalaga sa mga bata tuwing gabi; umiiyak sila at walang makain.,High,80,P1
main,85,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Neglect / Acts of Omission,Walang nag-aalaga sa mga bata tuwing gabi; umiiyak sila at walang makain.,High,80,P1
main,86,RISK_LEVEL_MISMATCH,high,"Risk 84.0 implies Critical, but row has High.",Physical Abuse,He shoved me during an argument about bills and warned me not to report it.,High,84,P1
main,86,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Physical Abuse,He shoved me during an argument about bills and warned me not to report it.,High,84,P1
main,87,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Sexual Abuse,Pinilit niya akong makipaglapit kahit malinaw ang pagtanggi ko.,Critical,93,P1
main,88,RISK_LEVEL_MISMATCH,high,"Risk 68.0 implies High, but row has Medium.",Psychological Abuse,He constantly humiliates me in front of our neighbors and calls me useless.,Medium,68,P2
main,88,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Psychological Abuse,He constantly humiliates me in front of our neighbors and calls me useless.,Medium,68,P2
main,89,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Economic Abuse,Kinuha niya ang sahod ko at hindi ako binigyan ng panggastos sa bahay.,High,77,P2
main,90,RISK_LEVEL_MISMATCH,high,"Risk 81.0 implies Critical, but row has High.",Elder Abuse,The elderly woman is denied access to her pension by her own son.,High,81,P1
main,91,RISK_LEVEL_MISMATCH,high,"Risk 80.0 implies Critical, but row has High.",Neglect / Acts of Omission,Pinapabayaan ang bata tuwing gabi habang nasa sugal ang magulang.,High,80,P1
main,92,RISK_LEVEL_MISMATCH,high,"Risk 83.0 implies Critical, but row has High.",Physical Abuse,Tinadyakan niya ang pinto at natamaan ako sa balikat.,High,83,P1
main,92,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Physical Abuse,Tinadyakan niya ang pinto at natamaan ako sa balikat.,High,83,P1
main,93,RISK_LEVEL_MISMATCH,high,"Risk 88.0 implies Critical, but row has High.",Sexual Abuse,He pressured me repeatedly and said I had no right to refuse him.,High,88,P1
main,93,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Sexual Abuse,He pressured me repeatedly and said I had no right to refuse him.,High,88,P1
main,94,RISK_LEVEL_MISMATCH,high,"Risk 64.0 implies High, but row has Medium.",Psychological Abuse,Awan ti inaramidna no di ket panangibabain ken panagkontrol kaniak.,Medium,64,P2
main,94,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Psychological Abuse,Awan ti inaramidna no di ket panangibabain ken panagkontrol kaniak.,Medium,64,P2
