Incident_Type,Incident_Description,Language,Risk_Level,Incident_Risk_Percentage,Priority_Level,Children_Involved,Weapon_Mentioned,AI_Confidence_Score
None / Non-Abuse Report,"He yelled and broke a plate, but no one was harmed.",English,Medium,59,P3,No,No,83
None / Non-Abuse Report,He said 'I will destroy you' but clarified later it was said in anger without intent.,English,Medium,66,P3,No,No,74
None / Non-Abuse Report,Narinig ang iyakan ngunit pareho silang sumigaw at nagkaayos din.,Tagalog,Medium,56,P3,Yes,No,87
None / Non-Abuse Report,May hawak siyang screwdriver habang galit pero ginagamit sa pag-aayos.,Tagalog,Medium,75,P3,No,Yes,63
None / Non-Abuse Report,Nagkaroon ng malakas na kalabog ngunit walang sugat o pasa.,Tagalog,Medium,66,P3,No,No,72
None / Non-Abuse Report,May pasa ang babae ngunit may medical proof na nadapa siya.,Tagalog,Medium,75,P3,No,No,65
None / Non-Abuse Report,He restricted access to funds briefly to settle shared bills.,English,Medium,68,P3,Yes,No,72
None / Non-Abuse Report,He yelled aggressively but neighbors confirmed no harm occurred.,English,Medium,60,P3,Yes,No,82
None / Non-Abuse Report,He demanded she repay money owed under written agreement.,English,Medium,71,P3,No,No,69
None / Non-Abuse Report,Nagkaroon ng emotional breakdown at sabayang iyakan.,Tagalog,Medium,57,P3,Yes,No,86
None / Non-Abuse Report,He forcefully asked for money but clarified it was repayment of documented debt.,English,Medium,72,P3,No,No,68
None / Non-Abuse Report,The woman was crying loudly but confirmed no physical force was used.,English,Medium,63,P3,Yes,No,78
None / Non-Abuse Report,Nagkaroon ng agawan sa cellphone ngunit parehong nagkasundo.,Tagalog,Medium,68,P3,No,No,74
None / Non-Abuse Report,He stood in front of the door briefly but allowed exit after discussion.,English,Medium,73,P3,No,No,66
None / Non-Abuse Report,May hawak siyang martilyo habang galit ngunit nagkukumpuni.,Tagalog,Medium,77,P3,No,Yes,60
None / Non-Abuse Report,He aggressively insisted on shared financial responsibility only.,English,Medium,66,P3,Yes,No,74
None / Non-Abuse Report,The woman was crying but clearly stated no threats were made.,English,Medium,64,P3,Yes,No,77
None / Non-Abuse Report,Narinig ang iyakan ngunit walang nakitang sugat.,Tagalog,Medium,59,P3,Yes,No,84
None / Non-Abuse Report,The argument included shouting but no threats were made.,English,Medium,60,P3,No,No,83
None / Non-Abuse Report,He blocked the exit momentarily but stepped aside quickly.,English,Medium,74,P3,No,No,65
None / Invalid,Ang kapitbahay namin ay nagalit sa internet connection at naiwan ang silya sa sahig.,Tagalog,Medium,17,P3,No,Yes,86
None / Invalid,Ang TV ay umiyak dahil sa init nang walang dahilan kaninang umaga sa harap ng mga tao.,Tagalog,Medium,38,P3,No,No,86
None / Invalid,Ang manok ay nagalit sa internet connection pero nagkaayos din sila agad.,Tagalog,Medium,39,P3,No,No,85
None / Invalid,Yung kaldero ay biglang lumipad pero nagkaayos din sila agad.,Tagalog,Low,23,P3,No,No,97
None / Invalid,The wifi router sang a pop song loudly so I just ignored it.,English,Low,28,P3,No,No,92
None / Invalid,Ang electric fan ay nagluto ng adobo habang nanonood ako ng balita sa kalsada.,Tagalog,Medium,31,P3,No,No,87
None / Invalid,Ang aso namin ay tumahol sa pader at naiwan ang kutsilyo sa sahig.,Tagalog,Medium,10,P3,No,Yes,94
None / Invalid,My coffee mug started complaining about the weather but we are completely fine now.,English,Medium,31,P3,No,No,87
None / Non-Abuse Report,Our pet dog sang a pop song loudly yesterday afternoon sa harap ng mga tao.,English,Medium,3,P3,No,No,94
None / Invalid,Ang kapitbahay namin ay nagalit sa internet connection kaya natulog na lang ako.,Tagalog,Low,10,P3,No,No,99
None / Non-Abuse Report,Yung kaldero ay nagluto ng adobo habang nanonood ako ng balita sa kwarto.,Tagalog,Medium,34,P3,No,No,93
None / Invalid,The wifi router sang a pop song loudly while I was holding a bakal sa kusina.,English,Medium,33,P3,No,Yes,92
None / Non-Abuse Report,The refrigerator refused to work yesterday afternoon sa sala.,English,Medium,34,P3,No,No,93
None / Non-Abuse Report,Yung kaldero ay nagluto ng adobo at naiwan ang bote sa sahig.,Tagalog,Medium,39,P3,No,Yes,93
None / Invalid,The clouds argued with me about a movie yesterday afternoon sa loob ng sasakyan.,English,Medium,33,P3,No,No,87
None / Non-Abuse Report,Yung kaldero ay tumahol sa pader kaya natulog na lang ako.,Tagalog,Low,30,P3,No,No,97
None / Invalid,The table ate my homework and it was very funny.,English,Low,24,P3,No,No,93
None / Non-Abuse Report,The refrigerator refused to work yesterday afternoon sa kalsada.,English,Medium,23,P3,No,No,89
None / Invalid,The wifi router argued with me about a movie but we are completely fine now.,English,Low,42,P3,No,No,98
None / Non-Abuse Report,The clouds jumped off the table yesterday afternoon sa harap ng mga tao.,English,Low,16,P3,No,No,87
None / Non-Abuse Report,Ang kapitbahay namin ay nagtalo tungkol sa kuryente at naiwan ang payong sa sahig.,Tagalog,Low,29,P3,No,Yes,98
None / Invalid,Ang aso namin ay nagalit sa internet connection habang nanonood ako ng balita sa sala.,Tagalog,Low,2,P3,No,No,95
None / Invalid,Ang electric fan ay umiyak dahil sa init nang walang dahilan noong isang araw sa labas ng bahay.,Tagalog,Medium,37,P3,No,No,92
None / Non-Abuse Report,The clouds ate my homework while I was holding a kahoy sa harap ng mga tao.,English,Low,19,P3,No,Yes,93
None / Non-Abuse Report,Ang kapitbahay namin ay umiyak dahil sa init nang walang dahilan noong isang araw sa kwarto.,Tagalog,Medium,33,P3,No,No,97
None / Non-Abuse Report,Ang electric fan ay umiyak dahil sa init habang nanonood ako ng balita sa sala.,Tagalog,Medium,41,P3,No,No,93
None / Non-Abuse Report,The table argued with me about a movie while I was holding a tubo sa sala.,English,Medium,26,P3,No,Yes,94
None / Non-Abuse Report,Ang aso namin ay nagtalo tungkol sa kuryente habang nanonood ako ng balita sa harap ng mga tao.,Tagalog,Low,7,P3,No,No,86
None / Invalid,Ang kapitbahay namin ay nagtalo tungkol sa kuryente nang walang dahilan kahapon sa harap ng mga tao.,Tagalog,Medium,1,P3,No,No,88
None / Non-Abuse Report,Ang electric fan ay biglang lumipad habang nanonood ako ng balita sa kusina.,Tagalog,Medium,31,P3,No,No,90
None / Non-Abuse Report,Ang TV ay biglang lumipad pero nagkaayos din sila agad.,Tagalog,Low,14,P3,No,No,95
None / Non-Abuse Report,The refrigerator started complaining about the weather but we are completely fine now.,English,Low,14,P3,No,No,92
None / Non-Abuse Report,Ang manok ay nagtalo tungkol sa kuryente at naiwan ang plato sa sahig.,Tagalog,Medium,41,P3,No,Yes,89
None / Invalid,The table ate my homework but we are completely fine now.,English,Low,42,P3,No,No,86
None / Non-Abuse Report,The table sang a pop song loudly yesterday afternoon sa kusina.,English,Medium,22,P3,No,No,99
None / Non-Abuse Report,Ang TV ay nagalit sa internet connection nang walang dahilan kagabi sa sala.,Tagalog,Medium,19,P3,No,No,87
None / Invalid,Ang electric fan ay nagalit sa internet connection nang walang dahilan kagabi sa kalsada.,Tagalog,Low,45,P3,No,No,94
None / Invalid,Ang electric fan ay nagluto ng adobo nang walang dahilan kaninang tanghali sa kusina.,Tagalog,Low,20,P3,No,No,96
None / Invalid,The wifi router started complaining about the weather while I was holding a kutsilyo sa harap ng mga tao.,English,Low,18,P3,No,Yes,94
None / Invalid,Ang electric fan ay biglang lumipad habang nanonood ako ng balita sa harap ng mga tao.,Tagalog,Low,12,P3,No,No,92
None / Invalid,My younger sibling sang a pop song loudly while I was holding a plato sa labas ng bahay.,English,Low,20,P3,Yes,Yes,87
None / Non-Abuse Report,The refrigerator started complaining about the weather while I was holding a pamalo sa harap ng mga tao.,English,Medium,34,P3,No,Yes,99
None / Invalid,Our pet dog ate my homework yesterday afternoon sa harap ng mga tao.,English,Medium,23,P3,No,No,94
None / Non-Abuse Report,Yung kaldero ay biglang lumipad at naiwan ang kutsilyo sa sahig.,Tagalog,Low,33,P3,No,Yes,97
None / Non-Abuse Report,Ang aso namin ay nagluto ng adobo pero nagkaayos din sila agad.,Tagalog,Medium,19,P3,No,No,88
None / Invalid,My younger sibling argued with me about a movie yesterday afternoon sa labas ng bahay.,English,Medium,30,P3,Yes,No,88
None / Invalid,Ang TV ay nagalit sa internet connection nang walang dahilan noong isang araw sa kwarto.,Tagalog,Low,33,P3,No,No,99
None / Non-Abuse Report,Ang aso namin ay nagalit sa internet connection nang walang dahilan kahapon sa harap ng mga tao.,Tagalog,Medium,40,P3,No,No,91
None / Invalid,Ang kapitbahay namin ay umiyak dahil sa init nang walang dahilan kaninang tanghali sa kusina.,Tagalog,Low,5,P3,No,No,92
None / Non-Abuse Report,My younger sibling refused to work while I was holding a silya sa labas ng bahay.,English,Medium,34,P3,Yes,Yes,96
None / Non-Abuse Report,Ang aso namin ay biglang lumipad at naiwan ang plato sa sahig.,Tagalog,Low,15,P3,No,Yes,94
None / Invalid,The table argued with me about a movie while I was holding a silya sa sala.,English,Low,26,P3,No,Yes,92
None / Invalid,The clouds jumped off the table so I just ignored it.,English,Low,20,P3,No,No,90
None / Invalid,The refrigerator argued with me about a movie and it was very funny.,English,Low,5,P3,No,No,99
None / Non-Abuse Report,Ang aso namin ay nagtalo tungkol sa kuryente habang nanonood ako ng balita sa labas ng bahay.,Tagalog,Medium,17,P3,No,No,94
None / Non-Abuse Report,Yung pusa sa kanto ay umiyak dahil sa init habang nanonood ako ng balita sa kalsada.,Tagalog,Medium,10,P3,No,No,94
None / Non-Abuse Report,My younger sibling started complaining about the weather while I was holding a payong sa kalsada.,English,Medium,20,P3,Yes,Yes,90
None / Non-Abuse Report,The wifi router refused to work while I was holding a sinturon sa kusina.,English,Low,38,P3,No,Yes,92
None / Invalid,The wifi router started complaining about the weather while I was holding a tubo sa kalsada.,English,Low,29,P3,No,Yes,89
None / Non-Abuse Report,Yung kaldero ay nagalit sa internet connection habang nanonood ako ng balita sa kusina.,Tagalog,Low,43,P3,No,No,93
None / Invalid,The table refused to work yesterday afternoon sa labas ng bahay.,English,Low,4,P3,No,No,89
None / Non-Abuse Report,Our pet dog started complaining about the weather but we are completely fine now.,English,Medium,19,P3,No,No,92
None / Invalid,Yung pusa sa kanto ay biglang lumipad habang nanonood ako ng balita sa kusina.,Tagalog,Low,1,P3,No,No,86
None / Invalid,Our pet dog argued with me about a movie while I was holding a sinturon sa harap ng mga tao.,English,Medium,26,P3,No,Yes,94
None / Non-Abuse Report,Ang electric fan ay nagtalo tungkol sa kuryente nang walang dahilan kaninang tanghali sa kwarto.,Tagalog,Medium,17,P3,No,No,85
None / Invalid,The wifi router ate my homework yesterday afternoon sa sala.,English,Medium,26,P3,No,No,93
None / Non-Abuse Report,The clouds started complaining about the weather yesterday afternoon sa labas ng bahay.,English,Low,17,P3,No,No,93
None / Non-Abuse Report,Yung kaldero ay nagluto ng adobo at naiwan ang kutsilyo sa sahig.,Tagalog,Medium,34,P3,No,Yes,92
None / Invalid,My coffee mug refused to work while I was holding a payong sa harap ng mga tao.,English,Low,40,P3,No,Yes,92
None / Non-Abuse Report,Ang TV ay nagalit sa internet connection nang walang dahilan kaninang tanghali sa kwarto.,Tagalog,Medium,23,P3,No,No,92
None / Invalid,Ang manok ay biglang lumipad habang nanonood ako ng balita sa harap ng mga tao.,Tagalog,Low,35,P3,No,No,99
None / Non-Abuse Report,Yung pusa sa kanto ay nagalit sa internet connection habang nanonood ako ng balita sa loob ng sasakyan.,Tagalog,Low,16,P3,No,No,85
None / Non-Abuse Report,My younger sibling argued with me about a movie while I was holding a kutsilyo sa kalsada.,English,Medium,16,P3,Yes,Yes,91
None / Invalid,Yung kaldero ay nagtalo tungkol sa kuryente nang walang dahilan kagabi sa kusina.,Tagalog,Low,12,P3,No,No,88
None / Non-Abuse Report,The clouds argued with me about a movie while I was holding a bakal sa labas ng bahay.,English,Low,4,P3,No,Yes,96
None / Invalid,Ang aso namin ay nagalit sa internet connection nang walang dahilan kaninang tanghali sa kusina.,Tagalog,Medium,14,P3,No,No,94
None / Non-Abuse Report,Yung pusa sa kanto ay biglang lumipad nang walang dahilan kaninang tanghali sa loob ng sasakyan.,Tagalog,Low,33,P3,No,No,85
None / Non-Abuse Report,Ang rice cooker namin ay biglang kumanta ng pambansang awit sa harap ng sari-sari store noong nakaraang linggo kaya tinawanan ko na lang.,Tagalog,Medium,35,P3,No,No,98
None / Non-Abuse Report,Ang rice cooker namin ay nagsabong dahil sa kapirasong tinapay sa kusina habang nagluluto kagabi bago matulog pero panaginip lang pala iyon.,Tagalog,Low,10,P3,No,No,91
None / Non-Abuse Report,Yung tricycle driver ay nagalit at nag-walk out sa kusina habang nagluluto kaninang umaga bago pumasok habang nanonood ako ng Netflix.,Tagalog,Medium,10,P3,No,No,85
None / Invalid,Yung tricycle driver ay biglang naging robot at naglaba sa kwarto ng mga bata noong nakaraang linggo habang nanonood ako ng Netflix.,Tagalog,Low,2,P3,Yes,No,88
None / Invalid,Yung pinto ng banyo ay nag-demand ng mas malaking sweldo sa loob ng banyo kagabi bago matulog kaya na-late ako sa trabaho.,Tagalog,Low,15,P3,No,No,90
None / Non-Abuse Report,Ang rice cooker namin ay nag-debate kung sino ang mas magaling sa harap ng sari-sari store noong araw ng sweldo kaya napakamot na lang ako sa ulo.,Tagalog,Medium,6,P3,No,No,86
None / Invalid,Yung pinto ng banyo ay nagtampo dahil hindi nabigyan ng hotdog sa gitna ng kalsada noong araw ng sweldo dahil nag-brownout.,Tagalog,Low,22,P3,No,No,87
None / Invalid,Ang tinderang kapitbahay ay biglang naging robot at naglaba sa kusina habang nagluluto kagabi bago matulog kaya tinawanan ko na lang.,Tagalog,Medium,30,P3,No,No,96
None / Invalid,Yung manok ng kapitbahay ay nagsabong dahil sa kapirasong tinapay sa garahe noong kasagsagan ng ulan habang nanonood ako ng Netflix.,Tagalog,Medium,35,P3,No,No,86
None / Non-Abuse Report,Yung pinto ng banyo ay nagtampo dahil hindi nabigyan ng hotdog sa may hagdanan noong araw ng sweldo kaya napakamot na lang ako sa ulo.,Tagalog,Low,25,P3,No,No,92
None / Invalid,Ang alaga naming aso ay nag-demand ng mas malaking sweldo sa harap ng sari-sari store noong araw ng sweldo kaya na-late ako sa trabaho.,Tagalog,Medium,36,P3,No,No,98
None / Non-Abuse Report,Ang alaga naming aso ay nag-debate kung sino ang mas magaling sa kwarto ng mga bata noong nakaraang linggo kaya na-late ako sa trabaho.,Tagalog,Medium,22,P3,Yes,No,91
None / Non-Abuse Report,Ang alaga naming aso ay biglang kumanta ng pambansang awit sa loob ng banyo noong araw ng sweldo kaya na-late ako sa trabaho.,Tagalog,Low,34,P3,No,No,92
None / Invalid,Yung tricycle driver ay nagalit at nag-walk out sa gitna ng kalsada kaninang tanghaling tapat kaya tinawanan ko na lang.,Tagalog,Low,40,P3,No,No,89
None / Non-Abuse Report,Ang washing machine ay nag-demand ng mas malaking sweldo sa may hagdanan habang kumakain kami ng hapunan kaya napakamot na lang ako sa ulo.,Tagalog,Medium,18,P3,No,No,95
None / Invalid,Ang tinderang kapitbahay ay nagtampo dahil hindi nabigyan ng hotdog sa gitna ng kalsada habang kumakain kami ng hapunan kaya tinawanan ko na lang.,Tagalog,Medium,25,P3,No,No,98
None / Invalid,Yung pusa sa bubong ay nagsabong dahil sa kapirasong tinapay sa harap ng sari-sari store kagabi bago matulog pero panaginip lang pala iyon.,Tagalog,Low,13,P3,No,No,92
None / Non-Abuse Report,Ang rice cooker namin ay nag-debate kung sino ang mas magaling sa kusina habang nagluluto kaninang alas-tres ng madaling araw kaya napakamot na lang ako sa ulo.,Tagalog,Medium,11,P3,No,No,94
None / Invalid,Yung pusa sa bubong ay nag-demand ng mas malaking sweldo sa harap ng sari-sari store noong nakaraang linggo kaya na-late ako sa trabaho.,Tagalog,Medium,29,P3,No,No,92
None / Non-Abuse Report,Yung pusa sa bubong ay nagsabong dahil sa kapirasong tinapay sa may hagdanan kagabi bago matulog kaya na-late ako sa trabaho.,Tagalog,Medium,39,P3,No,No,90
None / Non-Abuse Report,Yung manok ng kapitbahay ay nag-demand ng mas malaking sweldo sa likod ng bahay noong nakaraang linggo kaya na-late ako sa trabaho.,Tagalog,Low,16,P3,No,No,91
None / Non-Abuse Report,Yung pusa sa bubong ay biglang naging robot at naglaba sa likod ng bahay kahapon ng hapon pero panaginip lang pala iyon.,Tagalog,Low,22,P3,No,No,93
None / Non-Abuse Report,Ang tinderang kapitbahay ay biglang naging robot at naglaba sa tapat ng kapitbahay noong nakaraang linggo kaya napakamot na lang ako sa ulo.,Tagalog,Medium,37,P3,No,No,91
None / Non-Abuse Report,Ang tinderang kapitbahay ay nagtampo dahil hindi nabigyan ng hotdog sa harap ng sari-sari store kaninang umaga bago pumasok dahil nag-brownout.,Tagalog,Low,30,P3,No,No,91
None / Invalid,Yung pinto ng banyo ay nag-demand ng mas malaking sweldo sa kusina habang nagluluto kaninang alas-tres ng madaling araw kaya napakamot na lang ako sa ulo.,Tagalog,Low,35,P3,No,No,95
None / Non-Abuse Report,Ang washing machine ay nakipagtsismisan tungkol sa pulitika sa loob ng banyo kaninang tanghaling tapat dahil nag-brownout.,Tagalog,Low,18,P3,No,No,98
None / Non-Abuse Report,Yung manok ng kapitbahay ay nagtampo dahil hindi nabigyan ng hotdog sa gitna ng kalsada noong araw ng sweldo kaya napakamot na lang ako sa ulo.,Tagalog,Medium,18,P3,No,No,95
None / Non-Abuse Report,Ang rice cooker namin ay biglang kumanta ng pambansang awit sa kwarto ng mga bata kaninang alas-tres ng madaling araw dahil nag-brownout.,Tagalog,Medium,4,P3,Yes,No,85
None / Invalid,Ang alaga naming aso ay lumipad papuntang kabilang kalye sa gitna ng kalsada kahapon ng hapon kaya na-late ako sa trabaho.,Tagalog,Medium,14,P3,No,No,94
None / Invalid,Ang washing machine ay nakipagtsismisan tungkol sa pulitika sa kwarto ng mga bata kagabi bago matulog dahil nag-brownout.,Tagalog,Low,9,P3,Yes,No,90
None / Invalid,Yung pusa sa bubong ay biglang kumanta ng pambansang awit sa loob ng banyo kaninang umaga bago pumasok habang nanonood ako ng Netflix.,Tagalog,Low,26,P3,No,No,86
None / Invalid,Ang rice cooker namin ay lumipad papuntang kabilang kalye sa kwarto ng mga bata noong nakaraang linggo kaya tinawanan ko na lang.,Tagalog,Low,26,P3,Yes,No,85
None / Non-Abuse Report,Ang tinderang kapitbahay ay biglang kumanta ng pambansang awit sa garahe kaninang alas-tres ng madaling araw kaya na-late ako sa trabaho.,Tagalog,Low,8,P3,No,No,91
None / Invalid,Yung pinto ng banyo ay nag-demand ng mas malaking sweldo sa kusina habang nagluluto kahapon ng hapon pero panaginip lang pala iyon.,Tagalog,Low,14,P3,No,No,86
None / Non-Abuse Report,Yung manok ng kapitbahay ay nag-demand ng mas malaking sweldo sa garahe habang kumakain kami ng hapunan kaya napakamot na lang ako sa ulo.,Tagalog,Low,10,P3,No,No,98
None / Invalid,Yung pusa sa bubong ay nag-demand ng mas malaking sweldo sa likod ng bahay noong araw ng sweldo kaya tinawanan ko na lang.,Tagalog,Medium,38,P3,No,No,92
None / Invalid,Ang sapatos ko ay nagsabong dahil sa kapirasong tinapay sa garahe kaninang alas-tres ng madaling araw habang nanonood ako ng Netflix.,Tagalog,Medium,9,P3,No,No,99
None / Invalid,Yung pinto ng banyo ay nagalit at nag-walk out sa kusina habang nagluluto noong araw ng sweldo pero panaginip lang pala iyon.,Tagalog,Low,28,P3,No,No,92
None / Non-Abuse Report,Ang tinderang kapitbahay ay nagtampo dahil hindi nabigyan ng hotdog sa tapat ng kapitbahay kagabi bago matulog kaya na-late ako sa trabaho.,Tagalog,Low,11,P3,No,No,97
None / Non-Abuse Report,Yung pinto ng banyo ay biglang kumanta ng pambansang awit sa loob ng banyo kahapon ng hapon dahil nag-brownout.,Tagalog,Low,28,P3,No,No,91
None / Invalid,Yung tricycle driver ay nagalit at nag-walk out sa harap ng sari-sari store noong nakaraang linggo kaya na-late ako sa trabaho.,Tagalog,Medium,2,P3,No,No,89
None / Invalid,Ang sapatos ko ay nagalit at nag-walk out sa garahe noong araw ng sweldo pero panaginip lang pala iyon.,Tagalog,Low,15,P3,No,No,99
None / Non-Abuse Report,Yung pinto ng banyo ay nag-debate kung sino ang mas magaling sa kwarto ng mga bata kaninang alas-tres ng madaling araw kaya tinawanan ko na lang.,Tagalog,Medium,32,P3,Yes,No,99
None / Invalid,Yung pinto ng banyo ay nagsabong dahil sa kapirasong tinapay sa garahe kaninang alas-tres ng madaling araw habang nanonood ako ng Netflix.,Tagalog,Medium,5,P3,No,No,88
None / Invalid,Ang washing machine ay nag-debate kung sino ang mas magaling sa loob ng banyo kaninang tanghaling tapat kaya na-late ako sa trabaho.,Tagalog,Low,8,P3,No,No,94
None / Invalid,Ang rice cooker namin ay biglang kumanta ng pambansang awit sa tapat ng kapitbahay noong nakaraang linggo pero panaginip lang pala iyon.,Tagalog,Low,3,P3,No,No,86
None / Invalid,Ang alaga naming aso ay biglang kumanta ng pambansang awit sa kwarto ng mga bata habang kumakain kami ng hapunan habang nanonood ako ng Netflix.,Tagalog,Low,23,P3,Yes,No,92
None / Invalid,Yung pinto ng banyo ay nagsabong dahil sa kapirasong tinapay sa garahe noong nakaraang linggo pero panaginip lang pala iyon.,Tagalog,Medium,15,P3,No,No,95
None / Invalid,Yung tricycle driver ay nag-demand ng mas malaking sweldo sa tapat ng kapitbahay habang kumakain kami ng hapunan kaya tinawanan ko na lang.,Tagalog,Low,31,P3,No,No,95
None / Invalid,Ang sapatos ko ay biglang naging robot at naglaba sa kusina habang nagluluto noong araw ng sweldo kaya na-late ako sa trabaho.,Tagalog,Medium,4,P3,No,No,93
None / Invalid,Yung manok ng kapitbahay ay lumipad papuntang kabilang kalye sa kusina habang nagluluto kahapon ng hapon kaya napakamot na lang ako sa ulo.,Tagalog,Medium,4,P3,No,No,99
None / Non-Abuse Report,Ang alaga naming aso ay nagalit at nag-walk out sa garahe kahapon ng hapon kaya tinawanan ko na lang.,Tagalog,Medium,40,P3,No,No,98
None / Non-Abuse Report,Ang sapatos ko ay nagalit at nag-walk out sa kusina habang nagluluto kahapon ng hapon kaya tinawanan ko na lang.,Tagalog,Medium,8,P3,No,No,98
None / Invalid,Ang washing machine ay nakipagtsismisan tungkol sa pulitika sa kwarto ng mga bata noong nakaraang linggo kaya tinawanan ko na lang.,Tagalog,Medium,34,P3,Yes,No,90
None / Invalid,Ang alaga naming aso ay biglang kumanta ng pambansang awit sa kusina habang nagluluto noong kasagsagan ng ulan kaya na-late ako sa trabaho.,Tagalog,Medium,19,P3,No,No,91
None / Non-Abuse Report,Ang rice cooker namin ay nag-debate kung sino ang mas magaling sa kwarto ng mga bata noong kasagsagan ng ulan kaya tinawanan ko na lang.,Tagalog,Medium,2,P3,Yes,No,97
None / Non-Abuse Report,Yung manok ng kapitbahay ay lumipad papuntang kabilang kalye sa kwarto ng mga bata kaninang tanghaling tapat kaya napakamot na lang ako sa ulo.,Tagalog,Medium,23,P3,Yes,No,97
None / Invalid,Yung pusa sa bubong ay biglang naging robot at naglaba sa kusina habang nagluluto noong kasagsagan ng ulan dahil nag-brownout.,Tagalog,Medium,23,P3,No,No,91
None / Invalid,Ang washing machine ay biglang naging robot at naglaba sa kwarto ng mga bata kagabi bago matulog kaya napakamot na lang ako sa ulo.,Tagalog,Medium,28,P3,Yes,No,91
None / Invalid,Ang tinderang kapitbahay ay nakipagtsismisan tungkol sa pulitika sa may hagdanan noong kasagsagan ng ulan pero panaginip lang pala iyon.,Tagalog,Medium,29,P3,No,No,90
None / Invalid,Yung manok ng kapitbahay ay nakipagtsismisan tungkol sa pulitika sa garahe noong araw ng sweldo pero panaginip lang pala iyon.,Tagalog,Medium,2,P3,No,No,89
None / Non-Abuse Report,Yung manok ng kapitbahay ay nag-debate kung sino ang mas magaling sa garahe kagabi bago matulog kaya tinawanan ko na lang.,Tagalog,Medium,20,P3,No,No,94
None / Non-Abuse Report,Ang tinderang kapitbahay ay nagtampo dahil hindi nabigyan ng hotdog sa harap ng sari-sari store noong kasagsagan ng ulan habang nanonood ako ng Netflix.,Tagalog,Low,33,P3,No,No,97
None / Non-Abuse Report,Yung tricycle driver ay nagtampo dahil hindi nabigyan ng hotdog sa kwarto ng mga bata noong nakaraang linggo kaya na-late ako sa trabaho.,Tagalog,Low,37,P3,Yes,No,93
None / Non-Abuse Report,Yung tricycle driver ay nakipagtsismisan tungkol sa pulitika sa likod ng bahay kagabi bago matulog pero panaginip lang pala iyon.,Tagalog,Low,31,P3,No,No,87
None / Invalid,Ang sapatos ko ay nagsabong dahil sa kapirasong tinapay sa kwarto ng mga bata habang kumakain kami ng hapunan pero panaginip lang pala iyon.,Tagalog,Medium,39,P3,Yes,No,96
